Equivalent widths of CH4 and NH3 as function of airmass
along equator. Units are nm
Number of locations =          551
Airmass,   W_CH4,  W_NH3
      2.52549      1.93936     0.412005
      2.49800      1.95214     0.393310
      2.47198      1.91479     0.381300
      2.44732      1.93195     0.413183
      2.42395      1.93432     0.389042
      2.40176      1.88055     0.473530
      2.38068      1.89789     0.467508
      2.36065      1.98237     0.491244
      2.34159      2.02738     0.515293
      3.45606      1.67717     0.241600
      3.35711      1.68456     0.253942
      3.26809      1.68885     0.292154
      3.18748      1.67508     0.289992
      3.11409      1.74128     0.290949
      3.04693      1.77118     0.294570
      2.98521      1.84136     0.329246
      2.92827      1.85665     0.323584
      2.87556      1.90215     0.417026
      2.82662      1.86964     0.387722
      2.78104      1.87405     0.409031
      2.73849      1.95415     0.431271
      2.69867      2.03277     0.479855
      2.66134      2.02528     0.460325
      2.62628      2.01867     0.445865
      2.59328      2.01224     0.443331
      2.56217      1.99684     0.440121
      2.53282      1.96151     0.457995
      2.50508      1.95573     0.429711
      2.47883      1.91151     0.410888
      4.76779      1.62234     0.186088
      4.47329      1.65078     0.205446
      4.23404      1.62901     0.204797
      4.03464      1.65630     0.263576
      3.86515      1.59903     0.190680
      3.71880      1.59460     0.238061
      3.59081      1.62958     0.206105
      3.47768      1.64387     0.235442
      3.37680      1.65593     0.207570
      3.28614      1.67417     0.314678
      3.20414      1.71688     0.252720
      3.12954      1.75249     0.333157
      3.06134      1.80276     0.335136
      2.99871      1.83609     0.351917
      2.94096      1.84357     0.390745
      2.88754      1.96774     0.409046
      2.83795      1.94091     0.412083
      2.79180      1.94598     0.448995
      2.74874      1.99410     0.459540
      2.70846      2.03222     0.530682
      2.67071      1.64010     0.572501
      7.88444      1.82315     0.124078
      6.54721      1.66800    0.0920608
      5.76295      1.77814     0.134363
      5.22918      1.65562     0.101504
      4.83471      1.62864     0.133667
      4.52745      1.65792     0.213813
      4.27922      1.66795     0.185439
      4.07320      1.67677     0.187203
      3.89866      1.58814     0.267467
      3.74835      1.61181     0.230840
      3.61718      1.65016     0.251090
      3.50145      1.60163     0.276904
      3.39841      1.63945     0.279284
      3.30593      1.58439     0.281810
      3.22238      1.65241     0.294790
      3.14646      1.72047     0.347549
      3.07710      1.73160     0.419720
      3.01346      1.85045     0.386348
      2.95482      1.85782     0.387123
      8.28986      2.18784     0.123607
      6.75772      1.82146     0.130831
      5.89877      1.71454     0.215826
      5.32694      1.66475     0.200639
      4.90989      1.61927     0.193209
      4.58789      1.69341     0.203414
      4.32939      1.61326     0.223190
      4.11587      1.60403     0.276489
      3.93562      1.63103     0.221565
      3.78086      1.66113     0.252594
      3.64613      1.67192     0.300207
      3.52750      1.69751     0.295050
      3.42206      1.69866     0.227207
      8.81134      1.86479    0.0992493
      7.00918      1.58320     0.158200
      6.05595      1.61518     0.183892
      5.43811      1.74765     0.174588
      4.99443      1.75359     0.190797
